dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1843-03-01,24.008000000000003,2.048,Acapulco,Mexico,16.87N,100.47W
1843-04-01,,,Acapulco,Mexico,16.87N,100.47W
1843-05-01,,,Acapulco,Mexico,16.87N,100.47W
1843-06-01,,,Acapulco,Mexico,16.87N,100.47W
1843-07-01,,,Acapulco,Mexico,16.87N,100.47W
1843-08-01,,,Acapulco,Mexico,16.87N,100.47W
1843-09-01,,,Acapulco,Mexico,16.87N,100.47W
1843-10-01,,,Acapulco,Mexico,16.87N,100.47W
1843-11-01,,,Acapulco,Mexico,16.87N,100.47W
1843-12-01,,,Acapulco,Mexico,16.87N,100.47W
1844-01-01,,,Acapulco,Mexico,16.87N,100.47W
1844-02-01,,,Acapulco,Mexico,16.87N,100.47W
1844-03-01,,,Acapulco,Mexico,16.87N,100.47W
1844-04-01,,,Acapulco,Mexico,16.87N,100.47W
1844-05-01,,,Acapulco,Mexico,16.87N,100.47W
1844-06-01,,,Acapulco,Mexico,16.87N,100.47W
1844-07-01,,,Acapulco,Mexico,16.87N,100.47W
1844-08-01,,,Acapulco,Mexico,16.87N,100.47W
1844-09-01,,,Acapulco,Mexico,16.87N,100.47W
1844-10-01,,,Acapulco,Mexico,16.87N,100.47W
1844-11-01,,,Acapulco,Mexico,16.87N,100.47W
1844-12-01,,,Acapulco,Mexico,16.87N,100.47W
1845-01-01,,,Acapulco,Mexico,16.87N,100.47W
1845-02-01,,,Acapulco,Mexico,16.87N,100.47W
1845-03-01,,,Acapulco,Mexico,16.87N,100.47W
1845-04-01,,,Acapulco,Mexico,16.87N,100.47W
1845-05-01,,,Acapulco,Mexico,16.87N,100.47W
1845-06-01,,,Acapulco,Mexico,16.87N,100.47W
1845-07-01,,,Acapulco,Mexico,16.87N,100.47W
1845-08-01,26.793000000000003,1.298,Acapulco,Mexico,16.87N,100.47W
1845-09-01,,,Acapulco,Mexico,16.87N,100.47W
1845-10-01,,,Acapulco,Mexico,16.87N,100.47W
1845-11-01,,,Acapulco,Mexico,16.87N,100.47W
1845-12-01,,,Acapulco,Mexico,16.87N,100.47W
1846-01-01,,,Acapulco,Mexico,16.87N,100.47W
1846-02-01,,,Acapulco,Mexico,16.87N,100.47W
1846-03-01,,,Acapulco,Mexico,16.87N,100.47W
1846-04-01,,,Acapulco,Mexico,16.87N,100.47W
1846-05-01,,,Acapulco,Mexico,16.87N,100.47W
1846-06-01,,,Acapulco,Mexico,16.87N,100.47W
1846-07-01,,,Acapulco,Mexico,16.87N,100.47W
1846-08-01,,,Acapulco,Mexico,16.87N,100.47W
1846-09-01,,,Acapulco,Mexico,16.87N,100.47W
1846-10-01,25.804,1.2990000000000002,Acapulco,Mexico,16.87N,100.47W
1846-11-01,,,Acapulco,Mexico,16.87N,100.47W
1846-12-01,26.763,1.524,Acapulco,Mexico,16.87N,100.47W
1847-01-01,,,Acapulco,Mexico,16.87N,100.47W
1847-02-01,,,Acapulco,Mexico,16.87N,100.47W
1847-03-01,,,Acapulco,Mexico,16.87N,100.47W
1847-04-01,,,Acapulco,Mexico,16.87N,100.47W
1847-05-01,,,Acapulco,Mexico,16.87N,100.47W
1847-06-01,,,Acapulco,Mexico,16.87N,100.47W
1847-07-01,,,Acapulco,Mexico,16.87N,100.47W
1847-08-01,,,Acapulco,Mexico,16.87N,100.47W
1847-09-01,,,Acapulco,Mexico,16.87N,100.47W
1847-10-01,,,Acapulco,Mexico,16.87N,100.47W
1847-11-01,,,Acapulco,Mexico,16.87N,100.47W
1847-12-01,,,Acapulco,Mexico,16.87N,100.47W
1848-01-01,,,Acapulco,Mexico,16.87N,100.47W
1848-02-01,,,Acapulco,Mexico,16.87N,100.47W
1848-03-01,,,Acapulco,Mexico,16.87N,100.47W
1848-04-01,,,Acapulco,Mexico,16.87N,100.47W
1848-05-01,,,Acapulco,Mexico,16.87N,100.47W
1848-06-01,,,Acapulco,Mexico,16.87N,100.47W
1848-07-01,,,Acapulco,Mexico,16.87N,100.47W
1848-08-01,,,Acapulco,Mexico,16.87N,100.47W
1848-09-01,,,Acapulco,Mexico,16.87N,100.47W
1848-10-01,,,Acapulco,Mexico,16.87N,100.47W
1848-11-01,,,Acapulco,Mexico,16.87N,100.47W
1848-12-01,,,Acapulco,Mexico,16.87N,100.47W
1849-01-01,26.05,1.992,Acapulco,Mexico,16.87N,100.47W
1849-02-01,24.535,1.733,Acapulco,Mexico,16.87N,100.47W
1849-03-01,25.167,1.923,Acapulco,Mexico,16.87N,100.47W
1849-04-01,23.92,1.4680000000000002,Acapulco,Mexico,16.87N,100.47W
1849-05-01,25.174000000000003,1.378,Acapulco,Mexico,16.87N,100.47W
1849-06-01,27.128,1.479,Acapulco,Mexico,16.87N,100.47W
1849-07-01,27.706,1.239,Acapulco,Mexico,16.87N,100.47W
1849-08-01,27.537,1.391,Acapulco,Mexico,16.87N,100.47W
1849-09-01,26.565,1.295,Acapulco,Mexico,16.87N,100.47W
1849-10-01,26.073,1.615,Acapulco,Mexico,16.87N,100.47W
1849-11-01,26.993,1.897,Acapulco,Mexico,16.87N,100.47W
1849-12-01,25.193,1.392,Acapulco,Mexico,16.87N,100.47W
1850-01-01,26.106,2.786,Acapulco,Mexico,16.87N,100.47W
1850-02-01,25.635,1.97,Acapulco,Mexico,16.87N,100.47W
1850-03-01,24.776,2.329,Acapulco,Mexico,16.87N,100.47W
1850-04-01,24.33,1.763,Acapulco,Mexico,16.87N,100.47W
1850-05-01,24.201,1.743,Acapulco,Mexico,16.87N,100.47W
1850-06-01,26.773000000000003,1.29,Acapulco,Mexico,16.87N,100.47W
1850-07-01,27.771,1.254,Acapulco,Mexico,16.87N,100.47W
1850-08-01,27.625,1.188,Acapulco,Mexico,16.87N,100.47W
1850-09-01,26.796999999999997,1.208,Acapulco,Mexico,16.87N,100.47W
1850-10-01,26.316,1.5730000000000002,Acapulco,Mexico,16.87N,100.47W
1850-11-01,25.796,1.783,Acapulco,Mexico,16.87N,100.47W
1850-12-01,24.262,1.555,Acapulco,Mexico,16.87N,100.47W
1851-01-01,25.296,1.835,Acapulco,Mexico,16.87N,100.47W
1851-02-01,23.974,1.513,Acapulco,Mexico,16.87N,100.47W
1851-03-01,23.677,1.888,Acapulco,Mexico,16.87N,100.47W
1851-04-01,24.349,1.776,Acapulco,Mexico,16.87N,100.47W
1851-05-01,26.33,1.421,Acapulco,Mexico,16.87N,100.47W
1851-06-01,27.467,1.296,Acapulco,Mexico,16.87N,100.47W
1851-07-01,27.163,1.794,Acapulco,Mexico,16.87N,100.47W
1851-08-01,27.416,1.5619999999999998,Acapulco,Mexico,16.87N,100.47W
1851-09-01,26.276999999999997,1.3530000000000002,Acapulco,Mexico,16.87N,100.47W
1851-10-01,26.591,2.0669999999999997,Acapulco,Mexico,16.87N,100.47W
1851-11-01,25.243,1.5419999999999998,Acapulco,Mexico,16.87N,100.47W
1851-12-01,25.528,2.745,Acapulco,Mexico,16.87N,100.47W
1852-01-01,23.464,2.182,Acapulco,Mexico,16.87N,100.47W
1852-02-01,25.581,2.7430000000000003,Acapulco,Mexico,16.87N,100.47W
1852-03-01,23.836,2.414,Acapulco,Mexico,16.87N,100.47W
1852-04-01,24.621,2.575,Acapulco,Mexico,16.87N,100.47W
1852-05-01,26.41200000000001,1.975,Acapulco,Mexico,16.87N,100.47W
1852-06-01,26.929,1.279,Acapulco,Mexico,16.87N,100.47W
1852-07-01,27.301,1.489,Acapulco,Mexico,16.87N,100.47W
1852-08-01,27.26,2.4930000000000003,Acapulco,Mexico,16.87N,100.47W
1852-09-01,26.425,1.314,Acapulco,Mexico,16.87N,100.47W
1852-10-01,26.15,1.771,Acapulco,Mexico,16.87N,100.47W
1852-11-01,26.144,2.948,Acapulco,Mexico,16.87N,100.47W
1852-12-01,26.575,1.5519999999999998,Acapulco,Mexico,16.87N,100.47W
1853-01-01,23.741,1.5930000000000002,Acapulco,Mexico,16.87N,100.47W
1853-02-01,22.949,1.504,Acapulco,Mexico,16.87N,100.47W
1853-03-01,22.914,1.837,Acapulco,Mexico,16.87N,100.47W
1853-04-01,24.062,1.329,Acapulco,Mexico,16.87N,100.47W
1853-05-01,25.987,1.396,Acapulco,Mexico,16.87N,100.47W
1853-06-01,26.511,1.482,Acapulco,Mexico,16.87N,100.47W
1853-07-01,27.963,1.053,Acapulco,Mexico,16.87N,100.47W
1853-08-01,26.843000000000004,1.3030000000000002,Acapulco,Mexico,16.87N,100.47W
1853-09-01,26.291,1.396,Acapulco,Mexico,16.87N,100.47W
1853-10-01,25.941999999999997,1.277,Acapulco,Mexico,16.87N,100.47W
1853-11-01,26.246,1.855,Acapulco,Mexico,16.87N,100.47W
1853-12-01,25.529,1.499,Acapulco,Mexico,16.87N,100.47W
1854-01-01,23.859,2.0709999999999997,Acapulco,Mexico,16.87N,100.47W
1854-02-01,23.116,1.5619999999999998,Acapulco,Mexico,16.87N,100.47W
1854-03-01,24.708,1.508,Acapulco,Mexico,16.87N,100.47W
1854-04-01,23.899,1.221,Acapulco,Mexico,16.87N,100.47W
1854-05-01,25.896,1.26,Acapulco,Mexico,16.87N,100.47W
1854-06-01,26.553,1.42,Acapulco,Mexico,16.87N,100.47W
1854-07-01,26.421999999999997,1.723,Acapulco,Mexico,16.87N,100.47W
1854-08-01,26.306,1.413,Acapulco,Mexico,16.87N,100.47W
1854-09-01,26.003,1.325,Acapulco,Mexico,16.87N,100.47W
1854-10-01,26.983,1.499,Acapulco,Mexico,16.87N,100.47W
1854-11-01,25.995,1.341,Acapulco,Mexico,16.87N,100.47W
1854-12-01,24.147,2.19,Acapulco,Mexico,16.87N,100.47W
1855-01-01,25.252,2.542,Acapulco,Mexico,16.87N,100.47W
1855-02-01,23.404,2.138,Acapulco,Mexico,16.87N,100.47W
1855-03-01,22.99,2.2030000000000003,Acapulco,Mexico,16.87N,100.47W
1855-04-01,24.521,1.807,Acapulco,Mexico,16.87N,100.47W
1855-05-01,26.881,1.71,Acapulco,Mexico,16.87N,100.47W
1855-06-01,26.875,1.643,Acapulco,Mexico,16.87N,100.47W
1855-07-01,26.112,1.735,Acapulco,Mexico,16.87N,100.47W
1855-08-01,26.133000000000003,1.453,Acapulco,Mexico,16.87N,100.47W
1855-09-01,25.406999999999996,1.652,Acapulco,Mexico,16.87N,100.47W
1855-10-01,25.149,1.534,Acapulco,Mexico,16.87N,100.47W
1855-11-01,25.903,1.482,Acapulco,Mexico,16.87N,100.47W
1855-12-01,24.875,2.0669999999999997,Acapulco,Mexico,16.87N,100.47W
1856-01-01,22.9,2.654,Acapulco,Mexico,16.87N,100.47W
1856-02-01,23.171,1.72,Acapulco,Mexico,16.87N,100.47W
1856-03-01,23.403,1.95,Acapulco,Mexico,16.87N,100.47W
1856-04-01,24.499,1.4980000000000002,Acapulco,Mexico,16.87N,100.47W
1856-05-01,25.529000000000003,1.781,Acapulco,Mexico,16.87N,100.47W
1856-06-01,27.622,1.928,Acapulco,Mexico,16.87N,100.47W
1856-07-01,27.031,1.3730000000000002,Acapulco,Mexico,16.87N,100.47W
1856-08-01,27.774,1.484,Acapulco,Mexico,16.87N,100.47W
1856-09-01,25.523000000000003,1.645,Acapulco,Mexico,16.87N,100.47W
1856-10-01,25.079,1.57,Acapulco,Mexico,16.87N,100.47W
1856-11-01,24.831999999999997,2.281,Acapulco,Mexico,16.87N,100.47W
1856-12-01,25.085,1.873,Acapulco,Mexico,16.87N,100.47W
1857-01-01,24.368,1.973,Acapulco,Mexico,16.87N,100.47W
1857-02-01,24.64,1.955,Acapulco,Mexico,16.87N,100.47W
1857-03-01,22.985,1.804,Acapulco,Mexico,16.87N,100.47W
1857-04-01,22.837,2.484,Acapulco,Mexico,16.87N,100.47W
1857-05-01,25.193,1.911,Acapulco,Mexico,16.87N,100.47W
1857-06-01,27.255,1.6,Acapulco,Mexico,16.87N,100.47W
1857-07-01,27.513,1.357,Acapulco,Mexico,16.87N,100.47W
1857-08-01,27.465,1.143,Acapulco,Mexico,16.87N,100.47W
1857-09-01,26.055999999999997,1.023,Acapulco,Mexico,16.87N,100.47W
1857-10-01,26.313,1.585,Acapulco,Mexico,16.87N,100.47W
1857-11-01,26.44,1.167,Acapulco,Mexico,16.87N,100.47W
1857-12-01,25.134,1.238,Acapulco,Mexico,16.87N,100.47W
1858-01-01,25.741,2.029,Acapulco,Mexico,16.87N,100.47W
1858-02-01,23.609,1.493,Acapulco,Mexico,16.87N,100.47W
1858-03-01,23.705,1.818,Acapulco,Mexico,16.87N,100.47W
1858-04-01,25.07,1.489,Acapulco,Mexico,16.87N,100.47W
1858-05-01,26.921000000000006,2.515,Acapulco,Mexico,16.87N,100.47W
1858-06-01,27.326,1.897,Acapulco,Mexico,16.87N,100.47W
1858-07-01,27.3,2.147,Acapulco,Mexico,16.87N,100.47W
1858-08-01,26.868,1.24,Acapulco,Mexico,16.87N,100.47W
1858-09-01,26.63,1.655,Acapulco,Mexico,16.87N,100.47W
1858-10-01,27.744,1.609,Acapulco,Mexico,16.87N,100.47W
1858-11-01,25.631,1.663,Acapulco,Mexico,16.87N,100.47W
1858-12-01,24.828000000000003,1.27,Acapulco,Mexico,16.87N,100.47W
1859-01-01,24.613000000000003,1.426,Acapulco,Mexico,16.87N,100.47W
1859-02-01,25.493,1.418,Acapulco,Mexico,16.87N,100.47W
1859-03-01,24.91,1.949,Acapulco,Mexico,16.87N,100.47W
1859-04-01,25.212,1.654,Acapulco,Mexico,16.87N,100.47W
1859-05-01,27.00500000000001,1.3630000000000002,Acapulco,Mexico,16.87N,100.47W
1859-06-01,27.544,1.238,Acapulco,Mexico,16.87N,100.47W
1859-07-01,27.236,1.239,Acapulco,Mexico,16.87N,100.47W
1859-08-01,27.572,0.958,Acapulco,Mexico,16.87N,100.47W
1859-09-01,26.208,1.012,Acapulco,Mexico,16.87N,100.47W
1859-10-01,26.386999999999997,1.102,Acapulco,Mexico,16.87N,100.47W
1859-11-01,26.273000000000003,1.7619999999999998,Acapulco,Mexico,16.87N,100.47W
1859-12-01,24.142,1.459,Acapulco,Mexico,16.87N,100.47W
1860-01-01,24.223000000000003,1.364,Acapulco,Mexico,16.87N,100.47W
1860-02-01,23.344,1.347,Acapulco,Mexico,16.87N,100.47W
1860-03-01,22.541,1.928,Acapulco,Mexico,16.87N,100.47W
1860-04-01,24.214,1.449,Acapulco,Mexico,16.87N,100.47W
1860-05-01,25.668000000000006,2.287,Acapulco,Mexico,16.87N,100.47W
1860-06-01,28.006,1.068,Acapulco,Mexico,16.87N,100.47W
1860-07-01,27.417,1.113,Acapulco,Mexico,16.87N,100.47W
1860-08-01,26.739,1.078,Acapulco,Mexico,16.87N,100.47W
1860-09-01,26.345,0.967,Acapulco,Mexico,16.87N,100.47W
1860-10-01,26.271,0.985,Acapulco,Mexico,16.87N,100.47W
1860-11-01,26.136,1.6880000000000002,Acapulco,Mexico,16.87N,100.47W
1860-12-01,24.583,1.492,Acapulco,Mexico,16.87N,100.47W
1861-01-01,23.84,1.871,Acapulco,Mexico,16.87N,100.47W
1861-02-01,23.01,1.615,Acapulco,Mexico,16.87N,100.47W
1861-03-01,23.597,1.46,Acapulco,Mexico,16.87N,100.47W
1861-04-01,24.421,1.518,Acapulco,Mexico,16.87N,100.47W
1861-05-01,25.655,1.7180000000000002,Acapulco,Mexico,16.87N,100.47W
1861-06-01,27.807,1.34,Acapulco,Mexico,16.87N,100.47W
1861-07-01,27.874,1.256,Acapulco,Mexico,16.87N,100.47W
1861-08-01,27.198,1.426,Acapulco,Mexico,16.87N,100.47W
1861-09-01,26.75,1.538,Acapulco,Mexico,16.87N,100.47W
1861-10-01,26.148000000000003,1.3869999999999998,Acapulco,Mexico,16.87N,100.47W
1861-11-01,27.405,1.79,Acapulco,Mexico,16.87N,100.47W
1861-12-01,26.103,1.936,Acapulco,Mexico,16.87N,100.47W
1862-01-01,25.097,1.756,Acapulco,Mexico,16.87N,100.47W
1862-02-01,23.566999999999997,1.823,Acapulco,Mexico,16.87N,100.47W
1862-03-01,23.764,1.584,Acapulco,Mexico,16.87N,100.47W
1862-04-01,24.697,1.414,Acapulco,Mexico,16.87N,100.47W
1862-05-01,26.154000000000003,1.536,Acapulco,Mexico,16.87N,100.47W
1862-06-01,27.323,1.384,Acapulco,Mexico,16.87N,100.47W
1862-07-01,27.679,1.281,Acapulco,Mexico,16.87N,100.47W
1862-08-01,27.275,1.3259999999999998,Acapulco,Mexico,16.87N,100.47W
1862-09-01,26.346,1.337,Acapulco,Mexico,16.87N,100.47W
1862-10-01,25.773000000000003,1.597,Acapulco,Mexico,16.87N,100.47W
1862-11-01,25.744,1.4409999999999998,Acapulco,Mexico,16.87N,100.47W
1862-12-01,24.227,1.65,Acapulco,Mexico,16.87N,100.47W
1863-01-01,24.77,1.935,Acapulco,Mexico,16.87N,100.47W
1863-02-01,24.601,2.3,Acapulco,Mexico,16.87N,100.47W
1863-03-01,24.913,1.336,Acapulco,Mexico,16.87N,100.47W
1863-04-01,24.837,1.5630000000000002,Acapulco,Mexico,16.87N,100.47W
1863-05-01,25.546000000000006,1.845,Acapulco,Mexico,16.87N,100.47W
1863-06-01,27.429,1.402,Acapulco,Mexico,16.87N,100.47W
1863-07-01,27.347,1.19,Acapulco,Mexico,16.87N,100.47W
1863-08-01,26.991,1.226,Acapulco,Mexico,16.87N,100.47W
