dt,AverageTemperature,AverageTemperatureUncertainty,Country
1835-01-01,15.81,1.484,Mexico
1835-02-01,14.911,1.579,Mexico
1835-03-01,16.826,1.858,Mexico
1835-04-01,19.925,1.966,Mexico
1835-05-01,22.037,1.609,Mexico
1835-06-01,23.458,1.93,Mexico
1835-07-01,23.173,1.867,Mexico
1835-08-01,22.731,1.331,Mexico
1835-09-01,21.046,1.994,Mexico
1835-10-01,19.052,1.241,Mexico
1835-11-01,15.499999999999998,1.736,Mexico
1835-12-01,13.45,1.614,Mexico
1836-01-01,14.815,1.198,Mexico
1836-02-01,15.823,1.6909999999999998,Mexico
1836-03-01,18.044,1.267,Mexico
1836-04-01,20.422,1.264,Mexico
1836-05-01,22.108,1.429,Mexico
1836-06-01,23.753,1.402,Mexico
1836-07-01,24.284,1.705,Mexico
1836-08-01,23.491999999999997,1.548,Mexico
1836-09-01,22.345,2.0340000000000003,Mexico
1836-10-01,19.701,3.323,Mexico
1836-11-01,15.816,1.656,Mexico
1836-12-01,14.443,1.827,Mexico
1837-01-01,14.956,1.66,Mexico
1837-02-01,15.899,1.4169999999999998,Mexico
1837-03-01,17.052,1.496,Mexico
1837-04-01,18.938,1.4269999999999998,Mexico
1837-05-01,21.883000000000003,1.461,Mexico
1837-06-01,24.024,1.769,Mexico
1837-07-01,24.712,1.4780000000000002,Mexico
1837-08-01,24.266,1.344,Mexico
1837-09-01,22.455,1.272,Mexico
1837-10-01,19.535,1.903,Mexico
1837-11-01,17.296,1.746,Mexico
1837-12-01,15.037,2.799,Mexico
1838-01-01,12.481,2.352,Mexico
1838-02-01,13.601,1.4,Mexico
1838-03-01,17.444000000000006,1.511,Mexico
1838-04-01,20.592,1.443,Mexico
1838-05-01,21.568,1.253,Mexico
1838-06-01,24.476,1.509,Mexico
1838-07-01,24.739,2.454,Mexico
1838-08-01,23.991999999999997,2.235,Mexico
1838-09-01,22.155,1.453,Mexico
1838-10-01,19.933,2.664,Mexico
1838-11-01,16.583,2.168,Mexico
1838-12-01,14.48,1.907,Mexico
1839-01-01,15.215,1.412,Mexico
1839-02-01,16.076999999999998,1.63,Mexico
1839-03-01,16.397000000000002,1.33,Mexico
1839-04-01,21.592,1.672,Mexico
1839-05-01,22.624,1.219,Mexico
1839-06-01,24.574,1.35,Mexico
1839-07-01,25.007,2.417,Mexico
1839-08-01,24.449,1.902,Mexico
1839-09-01,22.627,1.497,Mexico
1839-10-01,20.228,1.665,Mexico
1839-11-01,15.721999999999998,1.653,Mexico
1839-12-01,12.918,1.489,Mexico
1840-01-01,15.504,1.319,Mexico
1840-02-01,15.911,2.264,Mexico
1840-03-01,17.822000000000006,1.658,Mexico
1840-04-01,20.745,1.938,Mexico
1840-05-01,22.483,1.4880000000000002,Mexico
1840-06-01,24.664,1.346,Mexico
1840-07-01,25.105,1.3730000000000002,Mexico
1840-08-01,23.91200000000001,1.378,Mexico
1840-09-01,22.386,1.389,Mexico
1840-10-01,19.403,1.555,Mexico
1840-11-01,16.04,2.364,Mexico
1840-12-01,14.62,1.517,Mexico
1841-01-01,13.550999999999998,1.784,Mexico
1841-02-01,15.903,1.4880000000000002,Mexico
1841-03-01,17.162000000000006,2.533,Mexico
1841-04-01,20.359,1.508,Mexico
1841-05-01,22.965,1.232,Mexico
1841-06-01,24.271,1.3130000000000002,Mexico
1841-07-01,25.453000000000003,1.467,Mexico
1841-08-01,24.284,1.371,Mexico
1841-09-01,22.35,1.337,Mexico
1841-10-01,20.311,1.431,Mexico
1841-11-01,17.014,1.318,Mexico
1841-12-01,15.233,1.673,Mexico
1842-01-01,15.107,1.579,Mexico
1842-02-01,16.211,1.579,Mexico
1842-03-01,20.153,1.855,Mexico
1842-04-01,21.171,1.756,Mexico
1842-05-01,23.069000000000003,1.402,Mexico
1842-06-01,24.133000000000003,1.2819999999999998,Mexico
1842-07-01,24.021,1.35,Mexico
1842-08-01,23.812,1.422,Mexico
1842-09-01,22.372,1.288,Mexico
1842-10-01,20.046,1.336,Mexico
1842-11-01,16.761999999999997,1.61,Mexico
1842-12-01,15.556,1.442,Mexico
1843-01-01,15.826,1.501,Mexico
1843-02-01,16.762999999999998,1.355,Mexico
1843-03-01,17.974,1.905,Mexico
1843-04-01,21.179,1.604,Mexico
1843-05-01,22.69,1.283,Mexico
